Obra;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria;Nº NF;Data NF; ValorUnitRealizado ; Qtd Realizada ; ValorTotalRealizado ;Cód. Fornecedor;Fornecedor;Tipo;Cód. Pedido;Cód. Contrato
OBR;01120103013OBR;4842;Cabo flexivel PVC 750V azul 1,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 0,98 ; 70,30 ; 68,74 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103014OBR;4836;Cabo flexivel PVC 750V amarelo 1,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 1,31 ; 2.658,08 ; 3.481,39 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103014OBR;4836;Cabo flexivel PVC 750V amarelo 1,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 0,98 ; 13,42 ; 13,12 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 49,68 ; 185,39 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 24,84 ; 233,30 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 24,84 ; 154,19 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 24,84 ; 233,30 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 24,84 ; 154,19 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 24,84 ; 233,30 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 24,84 ; 154,19 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 24,84 ; 154,19 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 19,87 ; 186,64 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103015OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 24,84 ; 154,19 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103020OBR;4840;Cabo flexivel PVC 750V amarelo 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 297,00 ; 381,20 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103022OBR;4895;Cabo flexivel PVC 750V verde 1,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 0,98 ; 29,93 ; 29,26 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120105211OBR;8768;Fitilho para amarracao 50 m;UN;Ferramentas;480890OBR.N;13/06/2024; 38,99 ; 120,00 ; 4.678,77 ;Código 40;Fornecedor 40;Geral;126OBR.P;-
OBR;01120105401OBR;5097;Cabo de cobre nu 35,0 mm²;M;Elétrica - Fios e Cabos;65587OBR.N;28/02/2024; 19,27 ; 60,00 ; 1.156,44 ;Código 43;Fornecedor 43;Geral;38OBR.P;-
