Obra;Grupo Orçamentário;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria; Qtde. Insumo ; Custo Insumo ; Total Orçado ;Tipo
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100104OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100201OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 432,21 ; 4,47 ; 1.933,49 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100201OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 432,21 ; 4,47 ; 1.933,49 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100202OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 432,21 ; 4,47 ; 1.933,49 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100203OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 432,21 ; 4,47 ; 1.933,49 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100204OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100301OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 397,35 ; 4,47 ; 1.777,55 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100301OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 397,35 ; 4,47 ; 1.777,55 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100302OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 397,35 ; 4,47 ; 1.777,55 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100303OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 397,35 ; 4,47 ; 1.777,55 ;Geral
